symbol,date,price
MSFT,5/30/2020,9779
MSFT,5/31/2020,9930
MSFT,6/1/2020,10167
MSFT,6/2/2020,10637
MSFT,6/3/2020,11729
MSFT,6/4/2020,12545
MSFT,6/5/2020,13170
MSFT,6/6/2020,13511
MSFT,6/7/2020,13699
MSFT,6/8/2020,14053
MSFT,6/9/2020,14649
MSFT,6/10/2020,15357
MSFT,6/11/2020,15944
MSFT,6/12/2020,16448
MSFT,6/13/2020,16872
MSFT,6/14/2020,17141
MSFT,6/15/2020,17580
MSFT,6/16/2020,18310
MSFT,6/17/2020,19080
MSFT,6/18/2020,19747
MSFT,6/19/2020,20394
MSFT,6/20/2020,20781
MSFT,6/21/2020,21825
MSFT,6/22/2020,22584
MSFT,6/23/2020,23377
MSFT,6/24/2020,24324
MSFT,6/25/2020,25060
MSFT,6/26/2020,25779
MSFT,6/27/2020,26381
MSFT,6/28/2020,26648
MSFT,6/29/2020,27121
MSFT,6/30/2020,27769
MSFT,7/1/2020,28510
MSFT,7/2/2020,29189
MSFT,7/3/2020,29843
MSFT,7/4/2020,30366
MSFT,7/5/2020,30639
MSFT,7/6/2020,31119
MSFT,7/7/2020,32014
MSFT,7/8/2020,32796
MSFT,7/9/2020,33526
MSFT,7/10/2020,34191
MSFT,7/11/2020,34730
MSFT,7/12/2020,35006
MSFT,7/13/2020,35491
MSFT,7/14/2020,36327
MSFT,7/15/2020,36906
MSFT,7/16/2020,37574
MSFT,7/17/2020,38310
MSFT,7/18/2020,38888
MSFT,7/19/2020,39184
MSFT,7/20/2020,39485
MSFT,7/21/2020,40400
MSFT,7/22/2020,41190
MSFT,7/23/2020,41908
MSFT,7/24/2020,42645
MSFT,7/25/2020,43374
MSFT,7/26/2020,43680
MSFT,7/27/2020,44022
MSFT,7/28/2020,44876
MSFT,7/29/2020,45361
MSFT,7/30/2020,46000
MSFT,7/31/2020,46688
MSFT,8/1/2020,47472
MSFT,8/2/2020,47746
MSFT,8/3/2020,48012
MSFT,8/4/2020,48869
MSFT,8/5/2020,49698
MSFT,8/6/2020,50517
MSFT,8/7/2020,51311
MSFT,8/8/2020,52006
MSFT,8/9/2020,52298
MSFT,8/10/2020,53003
MSFT,8/11/2020,53929
MSFT,8/12/2020,54666
MSFT,8/13/2020,55293
MSFT,8/14/2020,55908
MSFT,8/15/2020,56543
MSFT,8/16/2020,56757
MSFT,8/17/2020,57023
MSFT,8/18/2020,57774
MSFT,8/19/2020,58481
MSFT,8/20/2020,59106
MSFT,8/21/2020,59610
MSFT,8/22/2020,60254
MSFT,8/23/2020,60480
MSFT,8/24/2020,60800
MSFT,8/25/2020,61450
MSFT,8/26/2020,62076
MSFT,8/27/2020,62594
MSFT,8/28/2020,63146
MSFT,8/29/2020,63819
MSFT,8/30/2020,64158
MSFT,8/31/2020,64414
MSFT,9/1/2020,65241
MSFT,9/2/2020,65816
MSFT,9/3/2020,66329
MSFT,9/4/2020,66851
MSFT,9/5/2020,67326
MSFT,9/6/2020,67558
MSFT,9/7/2020,67781
MSFT,9/8/2020,68484
MSFT,9/9/2020,69049
MSFT,9/10/2020,69649
MSFT,9/11/2020,70183
MSFT,9/12/2020,70604
MSFT,9/13/2020,70821
MSFT,9/14/2020,71049
MSFT,9/15/2020,71678
MSFT,9/16/2020,71978
MSFT,9/17/2020,72179
MSFT,9/18/2020,72803
MSFT,9/19/2020,73258
MSFT,9/20/2020,73493
MSFT,9/21/2020,73697
MSFT,9/22/2020,74348
MSFT,9/23/2020,74949
MSFT,9/24/2020,75439
MSFT,9/25/2020,75844
MSFT,9/26/2020,76243
MSFT,9/27/2020,76430
MSFT,9/28/2020,76603
MSFT,9/29/2020,77163
MSFT,9/30/2020,77646
MSFT,10/1/2020,78078
MSFT,10/2/2020,78492
MSFT,10/3/2020,78880
MSFT,10/4/2020,79088
MSFT,10/5/2020,81877
MSFT,10/6/2020,82348
MSFT,10/7/2020,82726
MSFT,10/8/2020,83096
MSFT,10/9/2020,83497
MSFT,10/10/2020,83642
MSFT,10/11/2020,83781
MSFT,10/12/2020,83945
MSFT,10/13/2020,84420
MSFT,10/14/2020,84898
MSFT,10/15/2020,85285
MSFT,10/16/2020,85704
MSFT,10/17/2020,86059
MSFT,10/18/2020,86167
MSFT,10/19/2020,86338
MSFT,10/20/2020,86893
MSFT,10/21/2020,87415
MSFT,10/22/2020,87415
MSFT,10/23/2020,88312
MSFT,10/24/2020,88743
MSFT,10/25/2020,88924
MSFT,10/26/2020,89171
MSFT,10/27/2020,89814
MSFT,10/28/2020,90309
MSFT,10/29/2020,90773
MSFT,10/30/2020,91289
MSFT,10/31/2020,91753
MSFT,11/1/2020,91895
MSFT,11/2/2020,92100
MSFT,11/3/2020,92593
MSFT,11/4/2020,93228
MSFT,11/5/2020,93772
MSFT,11/6/2020,94323
MSFT,11/7/2020,94808
MSFT,11/8/2020,95027
MSFT,11/9/2020,95225
MSFT,11/10/2020,95842
MSFT,11/11/2020,96430
MSFT,11/12/2020,97056
MSFT,11/13/2020,97624
MSFT,11/14/2020,98259
MSFT,11/15/2020,98542
MSFT,11/16/2020,98861
MSFT,11/17/2020,99026
MSFT,11/18/2020,99528
MSFT,11/19/2020,100104
MSFT,11/20/2020,100823
MSFT,11/21/2020,101373
MSFT,11/22/2020,101676
MSFT,11/23/2020,101926
MSFT,11/24/2020,102739
MSFT,11/25/2020,103597
MSFT,11/26/2020,104242
MSFT,11/27/2020,104873
MSFT,11/28/2020,105459
MSFT,11/29/2020,105655
MSFT,11/30/2020,105940
MSFT,12/1/2020,106765
MSFT,12/2/2020,107565
MSFT,12/3/2020,108173
MSFT,12/4/2020,108863
MSFT,12/5/2020,109456
MSFT,12/6/2020,109717
MSFT,12/7/2020,110074
MSFT,12/8/2020,110874
MSFT,12/9/2020,111655
MSFT,12/10/2020,112326
MSFT,12/11/2020,113019
MSFT,12/12/2020,113704
MSFT,12/13/2020,113953
MSFT,12/14/2020,114298
MSFT,12/15/2020,115099
MSFT,12/16/2020,115769
MSFT,12/17/2020,116487
MSFT,12/18/2020,117249
MSFT,12/19/2020,117876
MSFT,12/20/2020,118202
MSFT,12/21/2020,118598
MSFT,12/22/2020,119495
MSFT,12/23/2020,120311
MSFT,12/24/2020,121172
MSFT,12/25/2020,121837
MSFT,12/26/2020,122026
MSFT,12/27/2020,122426
MSFT,12/28/2020,122855
MSFT,12/29/2020,123845
MSFT,12/30/2020,124897
MSFT,12/31/2020,125807
MSFT,1/1/2021,126507
MSFT,1/2/2021,126851
MSFT,1/3/2021,127213
MSFT,1/4/2021,127757
MSFT,1/5/2021,128822
MSFT,1/6/2021,129987
MSFT,1/7/2021,131031
MSFT,1/8/2021,132069
MSFT,1/9/2021,133204
MSFT,1/10/2021,133706
MSFT,1/11/2021,134368
MSFT,1/12/2021,135682
MSFT,1/13/2021,136917
MSFT,1/14/2021,137916
MSFT,1/15/2021,139022
